trial_id,tau,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.671875,0.19230769230769232,1.0,0.3559322033898305,0.8220338983050848,0.32258064516129037
0,2,0.8090277777777778,0.2903225806451613,1.0,0.2071563088512241,0.896421845574388,0.45000000000000007
0,3,0.7951388888888888,0.27607361963190186,1.0,0.2222222222222222,0.8888888888888888,0.4326923076923077
0,4,0.7760416666666666,0.25862068965517243,1.0,0.24293785310734464,0.8785310734463276,0.4109589041095891
0,5,0.7690972222222222,0.25280898876404495,1.0,0.2504708097928437,0.8747645951035782,0.40358744394618834
0,6,0.7430555555555556,0.23316062176165803,1.0,0.2787193973634652,0.8606403013182674,0.37815126050420167
0,7,0.7083333333333334,0.2112676056338028,1.0,0.3163841807909605,0.8418079096045198,0.3488372093023256
1,1,0.5991735537190083,0.1415929203539823,1.0,0.42920353982300885,0.7853982300884956,0.24806201550387597
1,2,0.7169421487603306,0.1893491124260355,1.0,0.3030973451327434,0.8484513274336283,0.31840796019900497
1,3,0.7582644628099173,0.21476510067114093,1.0,0.2588495575221239,0.870575221238938,0.3535911602209945
1,4,0.7603305785123967,0.21621621621621623,1.0,0.25663716814159293,0.8716814159292036,0.35555555555555557
1,5,0.75,0.20915032679738563,1.0,0.2676991150442478,0.8661504424778761,0.34594594594594597
1,6,0.731404958677686,0.19753086419753085,1.0,0.28761061946902655,0.8561946902654867,0.32989690721649484
1,7,0.7004132231404959,0.1807909604519774,1.0,0.32079646017699115,0.8396017699115044,0.3062200956937799
2,1,0.592,0.16938110749185667,1.0,0.44502617801047123,0.7774869109947644,0.2896935933147632
2,2,0.688,0.21052631578947367,1.0,0.3403141361256545,0.8298429319371727,0.34782608695652173
2,3,0.704,0.21940928270042195,1.0,0.3228621291448517,0.8385689354275742,0.35986159169550175
2,4,0.7296,0.23529411764705882,1.0,0.2949389179755672,0.8525305410122164,0.38095238095238093
2,5,0.7232,0.2311111111111111,1.0,0.3019197207678883,0.8490401396160558,0.37545126353790614
2,6,0.7152,0.22608695652173913,1.0,0.3106457242582897,0.8446771378708551,0.36879432624113473
2,7,0.7136,0.22510822510822512,1.0,0.31239092495637,0.8438045375218151,0.3674911660777386
3,1,0.6331360946745562,0.1875,0.9827586206896551,0.39967637540453077,0.7915411226425622,0.3149171270718232
3,2,0.7470414201183432,0.25327510917030566,1.0,0.2766990291262136,0.8616504854368932,0.40418118466898956
3,3,0.7588757396449705,0.26244343891402716,1.0,0.26375404530744334,0.8681229773462783,0.41577060931899645
3,4,0.7470414201183432,0.25327510917030566,1.0,0.2766990291262136,0.8616504854368932,0.40418118466898956
3,5,0.7707100591715976,0.27230046948356806,1.0,0.25080906148867316,0.8745954692556634,0.42804428044280446
3,6,0.75,0.2555066079295154,1.0,0.27346278317152106,0.8632686084142395,0.4070175438596491
3,7,0.7292899408284024,0.24066390041493776,1.0,0.2961165048543689,0.8519417475728155,0.3879598662207358
4,1,0.6076388888888888,0.18996415770609318,1.0,0.4321223709369025,0.7839388145315487,0.31927710843373497
4,2,0.7083333333333334,0.2398190045248869,1.0,0.32122370936902483,0.8393881453154876,0.38686131386861317
4,3,0.7413194444444444,0.2623762376237624,1.0,0.28489483747609945,0.8575525812619502,0.41568627450980394
4,4,0.7256944444444444,0.25118483412322273,1.0,0.30210325047801145,0.8489483747609943,0.4015151515151515
4,5,0.734375,0.25728155339805825,1.0,0.2925430210325048,0.8537284894837476,0.4092664092664092
4,6,0.7239583333333334,0.25,1.0,0.30401529636711283,0.8479923518164436,0.4
4,7,0.7118055555555556,0.2420091324200913,1.0,0.3173996175908222,0.841300191204589,0.3897058823529412
