trial_id,p,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.28442028985507245,0.07729468599033816,0.7111111111111111,0.7534516765285996,0.4788297172912558,0.13943355119825707
0,2,0.6322463768115942,0.10891089108910891,0.4888888888888889,0.35502958579881655,0.5669296515450362,0.17813765182186234
0,3,0.7916666666666666,0.16346153846153846,0.37777777777777777,0.17159763313609466,0.6030900723208416,0.22818791946308728
0,4,0.8876811594202898,0.33962264150943394,0.4,0.06903353057199212,0.665483234714004,0.36734693877551017
0,5,0.9039855072463768,0.39473684210526316,0.3333333333333333,0.045364891518737675,0.6439842209072978,0.36144578313253006
0,6,0.9184782608695652,0.5,0.35555555555555557,0.03155818540433925,0.6619986850756081,0.41558441558441556
0,7,0.9239130434782609,0.5555555555555556,0.3333333333333333,0.023668639053254437,0.6548323471400395,0.4166666666666667
1,1,0.3852813852813853,0.10032362459546926,0.8378378378378378,0.6541176470588236,0.5918600953895071,0.1791907514450867
1,2,0.7575757575757576,0.1951219512195122,0.6486486486486487,0.23294117647058823,0.7078537360890302,0.3
1,3,0.8658008658008658,0.31343283582089554,0.5675675675675675,0.10823529411764705,0.7296661367249602,0.40384615384615385
1,4,0.9004329004329005,0.41509433962264153,0.5945945945945946,0.07294117647058823,0.7608267090620031,0.48888888888888893
1,5,0.9112554112554112,0.4523809523809524,0.5135135135135135,0.05411764705882353,0.729697933227345,0.48101265822784806
1,6,0.9177489177489178,0.4864864864864865,0.4864864864864865,0.04470588235294118,0.7208903020667727,0.4864864864864865
1,7,0.9285714285714286,0.5555555555555556,0.5405405405405406,0.03764705882352941,0.7514467408585056,0.547945205479452
2,1,0.7294372294372294,0.1016949152542373,0.3870967741935484,0.2459396751740139,0.5705785495097673,0.16107382550335572
2,2,0.8701298701298701,0.17777777777777778,0.25806451612903225,0.08584686774941995,0.5861088241898061,0.21052631578947367
2,3,0.9069264069264069,0.2857142857142857,0.25806451612903225,0.04640371229698376,0.6058304019160242,0.2711864406779661
2,4,0.9047619047619048,0.25925925925925924,0.22580645161290322,0.04640371229698376,0.5897013696579597,0.24137931034482757
2,5,0.9047619047619048,0.24,0.1935483870967742,0.04408352668213457,0.5747324302073198,0.21428571428571427
2,6,0.9047619047619048,0.24,0.1935483870967742,0.04408352668213457,0.5747324302073198,0.21428571428571427
2,7,0.9112554112554112,0.2727272727272727,0.1935483870967742,0.037122969837587005,0.5782127086295936,0.22641509433962262
3,1,0.5095238095238095,0.08962264150943396,0.59375,0.49742268041237114,0.5481636597938144,0.15573770491803277
3,2,0.7452380952380953,0.14285714285714285,0.46875,0.23195876288659795,0.618395618556701,0.21897810218978103
3,3,0.8404761904761905,0.2033898305084746,0.375,0.1211340206185567,0.6269329896907216,0.26373626373626374
3,4,0.8714285714285714,0.2708333333333333,0.40625,0.09020618556701031,0.6580219072164948,0.325
3,5,0.8952380952380953,0.3333333333333333,0.375,0.061855670103092786,0.6565721649484536,0.35294117647058826
3,6,0.9095238095238095,0.40625,0.40625,0.04896907216494845,0.6786404639175257,0.40625
3,7,0.8952380952380953,0.3235294117647059,0.34375,0.059278350515463915,0.642235824742268,0.33333333333333337
4,1,0.35177865612648224,0.10644257703081232,0.8085106382978723,0.6949891067538126,0.5567607657720298,0.18811881188118815
4,2,0.6778656126482213,0.15060240963855423,0.5319148936170213,0.30718954248366015,0.6123626755666806,0.23474178403755872
