trial_id,p,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.19746376811594202,0.0851063829787234,0.7547169811320755,0.8617234468937875,0.446496767119144,0.15296367112810708
0,2,0.7083333333333334,0.1746987951807229,0.5471698113207547,0.2745490981963928,0.6363103565621809,0.2648401826484018
0,3,0.9003623188405797,0.48214285714285715,0.5094339622641509,0.05811623246492986,0.7256588648996105,0.4954128440366973
0,4,0.9239130434782609,0.6341463414634146,0.49056603773584906,0.03006012024048096,0.730252958747684,0.5531914893617021
0,5,0.9347826086956522,0.7428571428571429,0.49056603773584906,0.018036072144288578,0.7362649827957802,0.5909090909090909
0,6,0.9402173913043478,0.8125,0.49056603773584906,0.012024048096192385,0.7392709948198284,0.611764705882353
0,7,0.9402173913043478,0.8125,0.49056603773584906,0.012024048096192385,0.7392709948198284,0.611764705882353
1,1,0.37012987012987014,0.121875,0.7959183673469388,0.6803874092009685,0.5577654790729851,0.2113821138211382
1,2,0.7142857142857143,0.18796992481203006,0.5102040816326531,0.26150121065375304,0.62435143548945,0.27472527472527475
1,3,0.8593073593073594,0.35714285714285715,0.40816326530612246,0.08716707021791767,0.6604980975441024,0.38095238095238093
1,4,0.8961038961038961,0.5151515151515151,0.3469387755102041,0.0387409200968523,0.6540989277066759,0.41463414634146345
1,5,0.9025974025974026,0.5666666666666667,0.3469387755102041,0.031476997578692496,0.6577308889657558,0.43037974683544306
1,6,0.9047619047619048,0.5862068965517241,0.3469387755102041,0.029055690072639227,0.6589415427187825,0.43589743589743585
1,7,0.9069264069264069,0.6071428571428571,0.3469387755102041,0.026634382566585957,0.6601521964718091,0.4415584415584415
2,1,0.8268398268398268,0.25274725274725274,0.6571428571428571,0.1592505854800937,0.7489461358313818,0.36507936507936506
2,2,0.9069264069264069,0.4166666666666667,0.5714285714285714,0.06557377049180328,0.7529274004683841,0.48192771084337344
2,3,0.9112554112554112,0.42857142857142855,0.5142857142857142,0.05620608899297424,0.72903981264637,0.4675324675324675
2,4,0.9242424242424242,0.5,0.4857142857142857,0.03981264637002342,0.7229508196721312,0.49275362318840576
