dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220127_F4_run2,220127_F4_run2.pkl,1,558,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,524,1,558,-34,34,0.023411371237458192,0.013736263736263736,0.009675107501194458,115,81,34,0.5867346938775511,0.413265306122449,0.004061156235069278
220127_F4_run2,220127_F4_run2.pkl,3,508,2,524,-16,16,0.019827998088867656,0.010869565217391304,0.00895843287147635,91,75,16,0.5481927710843373,0.4518072289156626,0.001911132345914954
220127_F4_run2,220127_F4_run2.pkl,4,506,3,508,-2,2,0.016722408026755852,0.008480649784997612,0.008241758241758242,71,69,2,0.5071428571428572,0.4928571428571429,0.0002388915432393699
220127_F4_run2,220127_F4_run2.pkl,5,486,4,506,-20,20,0.017200191113234592,0.009794553272814142,0.007405637840420449,82,62,20,0.5694444444444444,0.4305555555555555,0.002388915432393693
