dataset,file,n_nodes,n_possible_edges,n_p_values,T_obs,T_obs_depth,T_minus_obs,T_minus_depth,T_plus_obs,T_plus_depth,edge_count_p1,edge_count_pmax,min_edge_count,min_edge_depth,first_step_drop_count,first_step_drop_fraction,drop_to_min_count,drop_to_min_fraction,final_drop_count,final_drop_fraction,cumulative_D_p,cumulative_D_minus,cumulative_D_plus,mean_post_first_D_p,max_post_first_D_p,edge_counts,D_p,D_parts
220119_F2_run11,220119_F2_run11.pkl,100,9900,7,0.026262626262626262,2,0.021212121212121213,2,0.006767676767676768,7,462,265,245,4,160,0.3463203463203463,217,0.4696969696969697,197,0.4264069264069264,0.08838383838383838,0.05414141414141414,0.03424242424242424,0.012424242424242424,0.013838383838383839,"{1: 462, 2: 302, 3: 263, 4: 245, 5: 251, 6: 256, 7: 265}","{2: 0.026262626262626262, 3: 0.013838383838383839, 4: 0.011515151515151515, 5: 0.012121212121212121, 6: 0.01202020202020202, 7: 0.012626262626262626}","{2: {'D_minus': 0.021212121212121213, 'D_plus': 0.005050505050505051}, 3: {'D_minus': 0.008888888888888889, 'D_plus': 0.004949494949494949}, 4: {'D_minus': 0.006666666666666667, 'D_plus': 0.0048484848484848485}, 5: {'D_minus': 0.005757575757575757, 'D_plus': 0.006363636363636364}, 6: {'D_minus': 0.005757575757575757, 'D_plus': 0.006262626262626263}, 7: {'D_minus': 0.005858585858585859, 'D_plus': 0.006767676767676768}}"
220127_F4_run2,220127_F4_run2.pkl,92,8372,7,0.03511705685618729,2,0.0210224558050645,2,0.01409460105112279,2,470,394,364,5,58,0.12340425531914893,106,0.225531914893617,76,0.16170212765957448,0.11347348303870043,0.06127568084089823,0.0521978021978022,0.015671285236502627,0.019350215002388916,"{1: 470, 2: 412, 3: 404, 4: 368, 5: 364, 6: 376, 7: 394}","{2: 0.03511705685618729, 3: 0.019350215002388916, 4: 0.016005733397037744, 5: 0.016483516483516484, 6: 0.012900143334925944, 7: 0.013616817964644052}","{2: {'D_minus': 0.0210224558050645, 'D_plus': 0.01409460105112279}, 3: {'D_minus': 0.010152890587673196, 'D_plus': 0.00919732441471572}, 4: {'D_minus': 0.010152890587673196, 'D_plus': 0.005852842809364548}, 5: {'D_minus': 0.008480649784997612, 'D_plus': 0.008002866698518872}, 6: {'D_minus': 0.005733397037744864, 'D_plus': 0.00716674629718108}, 7: {'D_minus': 0.005733397037744864, 'D_plus': 0.007883420926899188}}"
220210_F1_run6,220210_F1_run6.pkl,130,16770,7,0.05706618962432916,2,0.04370900417412045,2,0.013357185450208706,2,1200,710,621,3,509,0.4241666666666667,579,0.4825,490,0.4083333333333333,0.15623136553369113,0.09272510435301133,0.06350626118067978,0.019833035181872394,0.024806201550387597,"{1: 1200, 2: 691, 3: 621, 4: 646, 5: 653, 6: 714, 7: 710}","{2: 0.05706618962432916, 3: 0.024806201550387597, 4: 0.018783542039355994, 5: 0.018067978533094813, 6: 0.019499105545617172, 7: 0.018008348240906382}","{2: {'D_minus': 0.04370900417412045, 'D_plus': 0.013357185450208706}, 3: {'D_minus': 0.014490161001788909, 'D_plus': 0.010316040548598688}, 4: {'D_minus': 0.0086463923673226, 'D_plus': 0.010137149672033392}, 5: {'D_minus': 0.008825283243887896, 'D_plus': 0.009242695289206918}, 6: {'D_minus': 0.00793082886106142, 'D_plus': 0.011568276684555755}, 7: {'D_minus': 0.009123434704830053, 'D_plus': 0.008884913536076327}}"
220210_F2_run5,220210_F2_run5.pkl,165,27060,7,0.028677014042867703,2,0.0180339985218034,2,0.010643015521064302,2,1008,940,793,3,200,0.1984126984126984,215,0.21329365079365079,68,0.06746031746031746,0.09800443458980045,0.05025868440502587,0.047745750184774574,0.01386548410938655,0.01492978566149298,"{1: 1008, 2: 808, 3: 793, 4: 813, 5: 837, 6: 874, 7: 940}","{2: 0.028677014042867703, 3: 0.014227642276422764, 4: 0.012712490761271249, 5: 0.013673318551367332, 6: 0.013784183296378419, 7: 0.01492978566149298}","{2: {'D_minus': 0.0180339985218034, 'D_plus': 0.010643015521064302}, 3: {'D_minus': 0.007390983000739098, 'D_plus': 0.006836659275683666}, 4: {'D_minus': 0.00598669623059867, 'D_plus': 0.00672579453067258}, 5: {'D_minus': 0.00639320029563932, 'D_plus': 0.007280118255728012}, 6: {'D_minus': 0.006208425720620843, 'D_plus': 0.007575757575757576}, 7: {'D_minus': 0.006245380635624538, 'D_plus': 0.00868440502586844}}"
