trial_id,tau,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,2,0.9878472222222222,0.9259259259259259,0.9433962264150944,0.0076481835564053535,0.9678740214293444,0.9345794392523364
0,3,0.9861111111111112,0.8813559322033898,0.9811320754716981,0.01338432122370937,0.9838738771239943,0.9285714285714285
0,4,0.9895833333333334,0.8983050847457628,1.0,0.011472275334608031,0.994263862332696,0.9464285714285715
0,5,0.9878472222222222,0.8833333333333333,1.0,0.01338432122370937,0.9933078393881454,0.9380530973451328
0,6,0.9826388888888888,0.8412698412698413,1.0,0.019120458891013385,0.9904397705544933,0.9137931034482758
0,7,0.9878472222222222,0.8833333333333333,1.0,0.01338432122370937,0.9933078393881454,0.9380530973451328
1,2,0.9791666666666666,0.8809523809523809,0.8409090909090909,0.009398496240601503,0.9157552973342447,0.8604651162790699
1,3,0.9791666666666666,0.8333333333333334,0.9090909090909091,0.015037593984962405,0.9470266575529733,0.8695652173913043
1,4,0.9756944444444444,0.8125,0.8863636363636364,0.016917293233082706,0.9347231715652768,0.8478260869565218
1,5,0.9739583333333334,0.7959183673469388,0.8863636363636364,0.018796992481203006,0.9337833219412166,0.8387096774193548
1,6,0.9722222222222222,0.7916666666666666,0.8636363636363636,0.018796992481203006,0.9224196855775804,0.8260869565217391
1,7,0.9739583333333334,0.7959183673469388,0.8863636363636364,0.018796992481203006,0.9337833219412166,0.8387096774193548
2,2,0.9716446124763705,0.8461538461538461,0.8627450980392157,0.016736401673640166,0.9230043481827878,0.854368932038835
2,3,0.9810964083175804,0.9183673469387755,0.8823529411764706,0.008368200836820083,0.9369923701698253,0.9
2,4,0.9735349716446124,0.8245614035087719,0.9215686274509803,0.02092050209205021,0.9503240626794651,0.8703703703703703
2,5,0.9735349716446124,0.8363636363636363,0.9019607843137255,0.01882845188284519,0.9415661662154402,0.8679245283018867
2,6,0.9697542533081286,0.8181818181818182,0.8823529411764706,0.02092050209205021,0.9307162195422102,0.8490566037735848
2,7,0.9735349716446124,0.8490566037735849,0.8823529411764706,0.016736401673640166,0.9328082697514152,0.8653846153846154
3,2,0.9727891156462585,0.7142857142857143,0.8333333333333334,0.019184652278177457,0.907074340527578,0.7692307692307692
3,3,0.9863945578231292,0.8214285714285714,0.9583333333333334,0.011990407673860911,0.9731714628297362,0.8846153846153847
3,4,0.981859410430839,0.7666666666666667,0.9583333333333334,0.016786570743405275,0.970773381294964,0.8518518518518519
3,5,0.981859410430839,0.7666666666666667,0.9583333333333334,0.016786570743405275,0.970773381294964,0.8518518518518519
3,6,0.981859410430839,0.7666666666666667,0.9583333333333334,0.016786570743405275,0.970773381294964,0.8518518518518519
3,7,0.9841269841269841,0.7931034482758621,0.9583333333333334,0.014388489208633094,0.9719724220623501,0.8679245283018867
4,2,0.9750692520775623,0.9,0.72,0.005952380952380952,0.8570238095238095,0.7999999999999999
4,3,0.9806094182825484,0.95,0.76,0.002976190476190476,0.8785119047619048,0.8444444444444444
4,4,0.9750692520775623,0.8636363636363636,0.76,0.008928571428571428,0.8755357142857143,0.8085106382978724
4,5,0.9778393351800554,0.9047619047619048,0.76,0.005952380952380952,0.8770238095238095,0.8260869565217391
4,6,0.9750692520775623,0.8636363636363636,0.76,0.008928571428571428,0.8755357142857143,0.8085106382978724
4,7,0.9750692520775623,0.8636363636363636,0.76,0.008928571428571428,0.8755357142857143,0.8085106382978724
5,2,0.9598765432098766,0.7647058823529411,0.5909090909090909,0.013245033112582781,0.7888320288982541,0.6666666666666667
5,3,0.9598765432098766,0.7142857142857143,0.6818181818181818,0.019867549668874173,0.8309753160746538,0.6976744186046512
5,4,0.9598765432098766,0.7142857142857143,0.6818181818181818,0.019867549668874173,0.8309753160746538,0.6976744186046512
5,5,0.9660493827160493,0.7619047619047619,0.7272727272727273,0.016556291390728478,0.8553582179409994,0.7441860465116279
5,6,0.9660493827160493,0.7619047619047619,0.7272727272727273,0.016556291390728478,0.8553582179409994,0.7441860465116279
5,7,0.9598765432098766,0.6956521739130435,0.7272727272727273,0.023178807947019868,0.8520469596628537,0.711111111111111
6,2,0.977810650887574,0.8245614035087719,0.9038461538461539,0.016025641025641024,0.9439102564102564,0.8623853211009175
6,3,0.9837278106508875,0.847457627118644,0.9615384615384616,0.014423076923076924,0.9735576923076923,0.9009009009009009
6,4,0.9807692307692307,0.819672131147541,0.9615384615384616,0.017628205128205128,0.9719551282051282,0.8849557522123893
6,5,0.9807692307692307,0.819672131147541,0.9615384615384616,0.017628205128205128,0.9719551282051282,0.8849557522123893
6,6,0.985207100591716,0.8620689655172413,0.9615384615384616,0.01282051282051282,0.9743589743589745,0.9090909090909091
6,7,0.9822485207100592,0.8333333333333334,0.9615384615384616,0.016025641025641024,0.9727564102564102,0.8928571428571429
7,2,0.9872,0.8970588235294118,0.9838709677419355,0.012433392539964476,0.9857187876009855,0.9384615384615386
7,3,0.9872,0.8857142857142857,1.0,0.014209591474245116,0.9928952042628774,0.9393939393939393
7,4,0.9888,0.8985507246376812,1.0,0.012433392539964476,0.9937833037300178,0.9465648854961832
