method,scenario,repeat,n_values,n_nonfinite,max_abs_finite,truth_edges,passes_qc
fast_gcstar_fcgc,latent_common_driver,6,20000,0,6.0670428473403435,9,True
fast_gcstar_fcgc,latent_common_driver,7,20000,0,5.926047219367208,13,True
fast_gcstar_fcgc,latent_common_driver,8,20000,0,9.34007076610915,12,True
fast_gcstar_fcgc,latent_common_driver,9,20000,0,4.750426458060331,7,True
fast_gcstar_fcgc,variable_lag_unconfounded,0,20000,0,9.638975335030791,17,True
fast_gcstar_fcgc,variable_lag_unconfounded,1,20000,0,4.004317432024343,15,True
fast_gcstar_fcgc,variable_lag_unconfounded,2,20000,0,4.38110950833998,16,True
fast_gcstar_fcgc,variable_lag_unconfounded,3,20000,0,5.332644234544481e+236,19,False
fast_gcstar_fcgc,variable_lag_unconfounded,4,20000,0,5.673124353670795e+21,19,False
fast_gcstar_fcgc,variable_lag_unconfounded,5,20000,0,8.312056893790434,21,True
fast_gcstar_fcgc,variable_lag_unconfounded,6,20000,0,4.68045025541276,22,True
fast_gcstar_fcgc,variable_lag_unconfounded,7,20000,8213,1.5262754684816165e+308,19,False
fast_gcstar_fcgc,variable_lag_unconfounded,8,20000,0,10.080629740138596,17,True
fast_gcstar_fcgc,variable_lag_unconfounded,9,20000,0,4.414089774243699,19,True
