trial_id,tau,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.984375,0.8793103448275862,0.9622641509433962,0.01338432122370937,0.9744399148598435,0.9189189189189189
0,2,0.9878472222222222,0.8833333333333333,1.0,0.01338432122370937,0.9933078393881454,0.9380530973451328
0,3,0.9895833333333334,0.8983050847457628,1.0,0.011472275334608031,0.994263862332696,0.9464285714285715
0,4,0.9861111111111112,0.8688524590163934,1.0,0.015296367112810707,0.9923518164435947,0.9298245614035088
0,5,0.984375,0.8548387096774194,1.0,0.017208413001912046,0.991395793499044,0.9217391304347826
0,6,0.9878472222222222,0.8833333333333333,1.0,0.01338432122370937,0.9933078393881454,0.9380530973451328
0,7,0.9878472222222222,0.8833333333333333,1.0,0.01338432122370937,0.9933078393881454,0.9380530973451328
1,1,0.985969387755102,0.875,0.9692307692307692,0.012517385257301807,0.9783566919867337,0.9197080291970802
1,2,0.9821428571428571,0.84,0.9692307692307692,0.016689847009735744,0.9762704611105167,0.9
1,3,0.9795918367346939,0.8356164383561644,0.9384615384615385,0.016689847009735744,0.9608858457259013,0.8840579710144928
1,4,0.9808673469387755,0.8289473684210527,0.9692307692307692,0.01808066759388039,0.9755750508184444,0.8936170212765957
1,5,0.9795918367346939,0.8181818181818182,0.9692307692307692,0.019471488178025034,0.9748796405263721,0.8873239436619719
1,6,0.9770408163265306,0.7974683544303798,0.9692307692307692,0.022253129346314324,0.9734888199422275,0.8750000000000001
1,7,0.9719387755102041,0.7590361445783133,0.9692307692307692,0.027816411682892908,0.9707071787739381,0.8513513513513513
2,1,0.9497041420118343,0.7291666666666666,0.625,0.020967741935483872,0.802016129032258,0.6730769230769231
2,2,0.9526627218934911,0.74,0.6607142857142857,0.020967741935483872,0.8198732718894008,0.6981132075471698
2,3,0.9571005917159763,0.7547169811320755,0.7142857142857143,0.020967741935483872,0.8466589861751153,0.7339449541284405
2,4,0.9585798816568047,0.78,0.6964285714285714,0.017741935483870968,0.8393433179723502,0.7358490566037736
2,5,0.9556213017751479,0.7407407407407407,0.7142857142857143,0.02258064516129032,0.845852534562212,0.7272727272727273
2,6,0.9600591715976331,0.7843137254901961,0.7142857142857143,0.017741935483870968,0.8482718894009217,0.7476635514018691
2,7,0.9571005917159763,0.7547169811320755,0.7142857142857143,0.020967741935483872,0.8466589861751153,0.7339449541284405
3,1,0.9785969084423306,0.8117647058823529,0.971830985915493,0.02077922077922078,0.9755258825681361,0.8846153846153846
3,2,0.976218787158145,0.7865168539325843,0.9859154929577465,0.024675324675324677,0.9806200841412109,0.8749999999999999
3,3,0.9797859690844233,0.8214285714285714,0.971830985915493,0.01948051948051948,0.9761752332174868,0.8903225806451612
3,4,0.9738406658739596,0.7692307692307693,0.9859154929577465,0.02727272727272727,0.9793213828425096,0.8641975308641977
3,5,0.9738406658739596,0.7692307692307693,0.9859154929577465,0.02727272727272727,0.9793213828425096,0.8641975308641977
3,6,0.9738406658739596,0.7692307692307693,0.9859154929577465,0.02727272727272727,0.9793213828425096,0.8641975308641977
3,7,0.9726516052318668,0.7666666666666667,0.971830985915493,0.02727272727272727,0.9722791293213828,0.8571428571428573
4,1,0.9773242630385488,0.8275862068965517,0.8275862068965517,0.012135922330097087,0.9077251422832273,0.8275862068965517
4,2,0.9795918367346939,0.8333333333333334,0.8620689655172413,0.012135922330097087,0.9249665215935721,0.847457627118644
4,3,0.9773242630385488,0.8064516129032258,0.8620689655172413,0.014563106796116505,0.9237529293605624,0.8333333333333334
4,4,0.9795918367346939,0.8125,0.896551724137931,0.014563106796116505,0.9409943086709073,0.8524590163934426
4,5,0.9795918367346939,0.8125,0.896551724137931,0.014563106796116505,0.9409943086709073,0.8524590163934426
4,6,0.9795918367346939,0.8125,0.896551724137931,0.014563106796116505,0.9409943086709073,0.8524590163934426
4,7,0.9705215419501134,0.75,0.8275862068965517,0.019417475728155338,0.9040843655841981,0.7868852459016394
