trial_id,p,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.2318840579710145,0.1111111111111111,1.0,0.8496993987975952,0.5751503006012024,0.19999999999999998
0,2,0.8677536231884058,0.42063492063492064,1.0,0.1462925851703407,0.9268537074148296,0.5921787709497206
0,3,0.9655797101449275,0.7361111111111112,1.0,0.03807615230460922,0.9809619238476954,0.8480000000000001
0,4,0.9891304347826086,0.8983050847457628,1.0,0.012024048096192385,0.9939879759519038,0.9464285714285715
0,5,0.9909420289855072,0.9137931034482759,1.0,0.01002004008016032,0.9949899799599198,0.9549549549549551
0,6,0.9909420289855072,0.9137931034482759,1.0,0.01002004008016032,0.9949899799599198,0.9549549549549551
0,7,0.9909420289855072,0.9137931034482759,1.0,0.01002004008016032,0.9949899799599198,0.9549549549549551
1,1,0.39826839826839827,0.14984709480122324,1.0,0.6731234866828087,0.6634382566585957,0.26063829787234044
1,2,0.8376623376623377,0.39166666666666666,0.9591836734693877,0.17675544794188863,0.8912141127637496,0.5562130177514794
1,3,0.9567099567099567,0.7230769230769231,0.9591836734693877,0.043583535108958835,0.9578000691802144,0.8245614035087718
1,4,0.9826839826839827,0.8867924528301887,0.9591836734693877,0.014527845036319613,0.972327914216534,0.9215686274509803
1,5,0.9891774891774892,0.94,0.9591836734693877,0.007263922518159807,0.975959875475614,0.9494949494949495
1,6,0.9891774891774892,0.94,0.9591836734693877,0.007263922518159807,0.975959875475614,0.9494949494949495
1,7,0.987012987012987,0.9215686274509803,0.9591836734693877,0.009685230024213076,0.9747492217225873,0.9400000000000001
2,1,0.8874458874458875,0.38666666666666666,0.8285714285714286,0.10772833723653395,0.8604215456674473,0.5272727272727272
2,2,0.9372294372294372,0.5652173913043478,0.7428571428571429,0.0468384074941452,0.8480093676814988,0.6419753086419753
2,3,0.9415584415584416,0.6052631578947368,0.6571428571428571,0.0351288056206089,0.8110070257611242,0.6301369863013698
2,4,0.9458874458874459,0.6388888888888888,0.6571428571428571,0.03044496487119438,0.8133489461358314,0.647887323943662
2,5,0.948051948051948,0.6571428571428571,0.6571428571428571,0.02810304449648712,0.8145199063231849,0.6571428571428571
2,6,0.9502164502164502,0.6764705882352942,0.6571428571428571,0.02576112412177986,0.8156908665105387,0.6666666666666666
2,7,0.9523809523809523,0.696969696969697,0.6571428571428571,0.0234192037470726,0.8168618266978922,0.676470588235294
3,1,0.6404761904761904,0.19680851063829788,1.0,0.39425587467362927,0.8028720626631853,0.3288888888888889
3,2,0.9,0.46835443037974683,1.0,0.10966057441253264,0.9451697127937337,0.6379310344827586
