dataset,file,n_nodes,n_possible_edges,n_p_values,T_obs,T_obs_depth,T_minus_obs,T_minus_depth,T_plus_obs,T_plus_depth,edge_count_p1,edge_count_pmax,min_edge_count,min_edge_depth,first_step_drop_count,first_step_drop_fraction,drop_to_min_count,drop_to_min_fraction,final_drop_count,final_drop_fraction,cumulative_D_p,cumulative_D_minus,cumulative_D_plus,mean_post_first_D_p,max_post_first_D_p,edge_counts,D_p,D_parts
220119_F2_run11,220119_F2_run11.pkl,100,9900,5,0.0268686868686868,2,0.0208080808080808,2,0.0113131313131313,5,541,403,363,4,146,0.2698706099815157,178,0.3290203327171904,138,0.255083179297597,0.0795959595959596,0.0467676767676767,0.0328282828282828,0.0175757575757575,0.0185858585858585,"{1: 541, 2: 395, 3: 373, 4: 363, 5: 403}","{2: 0.026868686868686868, 3: 0.017575757575757574, 4: 0.016565656565656565, 5: 0.018585858585858588}","{2: {'D_minus': 0.020808080808080807, 'D_plus': 0.006060606060606061}, 3: {'D_minus': 0.009898989898989899, 'D_plus': 0.007676767676767677}, 4: {'D_minus': 0.008787878787878787, 'D_plus': 0.0077777777777777776}, 5: {'D_minus': 0.007272727272727273, 'D_plus': 0.011313131313131313}}"
220127_F4_run2,220127_F4_run2.pkl,92,8372,5,0.0298614429049211,2,0.020066889632107,2,0.0097945532728141,2,608,508,508,5,86,0.1414473684210526,100,0.1644736842105263,100,0.1644736842105263,0.0819397993311036,0.046942188246536,0.0349976110845676,0.0173594521420608,0.0187529861442904,"{1: 608, 2: 522, 3: 509, 4: 510, 5: 508}","{2: 0.029861442904921164, 3: 0.018752986144290492, 4: 0.016125179168657428, 5: 0.017200191113234592}","{2: {'D_minus': 0.020066889632107024, 'D_plus': 0.009794553272814142}, 3: {'D_minus': 0.010152890587673196, 'D_plus': 0.008600095556617296}, 4: {'D_minus': 0.008002866698518872, 'D_plus': 0.008122312470138558}, 5: {'D_minus': 0.00871954132823698, 'D_plus': 0.008480649784997612}}"
220210_F2_run5,220210_F2_run5.pkl,165,27060,5,0.027161862527716185,2,0.017036215816703622,2,0.011492978566149298,5,1493,1411,1306,2,187,0.12525117213663764,187,0.12525117213663764,82,0.05492297387809779,0.08728750923872874,0.04515890613451589,0.04212860310421286,0.020041882237004188,0.02165558019216556,"{1: 1493, 2: 1306, 3: 1312, 4: 1375, 5: 1411}","{2: 0.027161862527716185, 3: 0.019216555801921657, 4: 0.01925351071692535, 5: 0.02165558019216556}","{2: {'D_minus': 0.017036215816703622, 'D_plus': 0.010125646711012565}, 3: {'D_minus': 0.00949741315594974, 'D_plus': 0.009719142645971915}, 4: {'D_minus': 0.008462675535846268, 'D_plus': 0.010790835181079084}, 5: {'D_minus': 0.01016260162601626, 'D_plus': 0.011492978566149298}}"
