dataset,file,n_nodes,n_possible_edges,n_p_values,T_obs,T_obs_depth,T_minus_obs,T_minus_depth,T_plus_obs,T_plus_depth,edge_count_p1,edge_count_pmax,min_edge_count,min_edge_depth,first_step_drop_count,first_step_drop_fraction,drop_to_min_count,drop_to_min_fraction,final_drop_count,final_drop_fraction,cumulative_D_p,cumulative_D_minus,cumulative_D_plus,mean_post_first_D_p,max_post_first_D_p,edge_counts,D_p,D_parts
220119_F2_run11,220119_F2_run11.pkl,100,9900,7,0.0268686868686868,2,0.0208080808080808,2,0.0113131313131313,5,541,406,363,4,146,0.2698706099815157,178,0.3290203327171904,135,0.2495378927911275,0.1138383838383838,0.0637373737373737,0.0501010101010101,0.0173939393939393,0.0185858585858585,"{1: 541, 2: 395, 3: 373, 4: 363, 5: 403, 6: 402, 7: 406}","{2: 0.026868686868686868, 3: 0.017575757575757574, 4: 0.016565656565656565, 5: 0.018585858585858588, 6: 0.01707070707070707, 7: 0.01717171717171717}","{2: {'D_minus': 0.020808080808080807, 'D_plus': 0.006060606060606061}, 3: {'D_minus': 0.009898989898989899, 'D_plus': 0.007676767676767677}, 4: {'D_minus': 0.008787878787878787, 'D_plus': 0.0077777777777777776}, 5: {'D_minus': 0.007272727272727273, 'D_plus': 0.011313131313131313}, 6: {'D_minus': 0.008585858585858586, 'D_plus': 0.008484848484848486}, 7: {'D_minus': 0.008383838383838384, 'D_plus': 0.008787878787878787}}"
220127_F4_run2,220127_F4_run2.pkl,92,8372,7,0.0298614429049211,2,0.020066889632107,2,0.0103917821309125,7,608,545,508,5,86,0.1414473684210526,100,0.1644736842105263,63,0.1036184210526315,0.1176540850453893,0.0625895843287147,0.0550645007166746,0.0175585284280936,0.0187529861442904,"{1: 608, 2: 522, 3: 509, 4: 510, 5: 508, 6: 522, 7: 545}","{2: 0.029861442904921164, 3: 0.018752986144290492, 4: 0.016125179168657428, 5: 0.017200191113234592, 6: 0.017677974199713332, 7: 0.018036311514572384}","{2: {'D_minus': 0.020066889632107024, 'D_plus': 0.009794553272814142}, 3: {'D_minus': 0.010152890587673196, 'D_plus': 0.008600095556617296}, 4: {'D_minus': 0.008002866698518872, 'D_plus': 0.008122312470138558}, 5: {'D_minus': 0.00871954132823698, 'D_plus': 0.008480649784997612}, 6: {'D_minus': 0.008002866698518872, 'D_plus': 0.009675107501194458}, 7: {'D_minus': 0.007644529383659818, 'D_plus': 0.010391782130912566}}"
220210_F1_run6,220210_F1_run6.pkl,100,9900,7,0.0424242424242424,2,0.0329292929292929,2,0.0112121212121212,7,871,650,619,3,232,0.2663605051664753,252,0.2893226176808266,221,0.2537313432835821,0.1447474747474747,0.0835353535353535,0.0612121212121212,0.0204646464646464,0.0215151515151515,"{1: 871, 2: 639, 3: 619, 4: 621, 5: 642, 6: 641, 7: 650}","{2: 0.04242424242424243, 3: 0.021414141414141413, 4: 0.02, 5: 0.019090909090909092, 6: 0.020303030303030302, 7: 0.021515151515151515}","{2: {'D_minus': 0.032929292929292926, 'D_plus': 0.009494949494949495}, 3: {'D_minus': 0.011717171717171718, 'D_plus': 0.009696969696969697}, 4: {'D_minus': 0.009898989898989899, 'D_plus': 0.010101010101010102}, 5: {'D_minus': 0.008484848484848486, 'D_plus': 0.010606060606060607}, 6: {'D_minus': 0.010202020202020202, 'D_plus': 0.010101010101010102}, 7: {'D_minus': 0.010303030303030303, 'D_plus': 0.011212121212121211}}"
220210_F2_run5,220210_F2_run5.pkl,165,27060,7,0.027161862527716185,2,0.017036215816703622,2,0.01507760532150776,7,1493,1651,1306,2,187,0.12525117213663764,187,0.12525117213663764,-158,-0.1058271935699933,0.13628972653362897,0.06522542498152253,0.07106430155210644,0.02182557280118256,0.02535107169253511,"{1: 1493, 2: 1306, 3: 1312, 4: 1375, 5: 1411, 6: 1521, 7: 1651}","{2: 0.027161862527716185, 3: 0.019216555801921657, 4: 0.01925351071692535, 5: 0.02165558019216556, 6: 0.023651145602365115, 7: 0.02535107169253511}","{2: {'D_minus': 0.017036215816703622, 'D_plus': 0.010125646711012565}, 3: {'D_minus': 0.00949741315594974, 'D_plus': 0.009719142645971915}, 4: {'D_minus': 0.008462675535846268, 'D_plus': 0.010790835181079084}, 5: {'D_minus': 0.01016260162601626, 'D_plus': 0.011492978566149298}, 6: {'D_minus': 0.009793052475979305, 'D_plus': 0.01385809312638581}, 7: {'D_minus': 0.010273466371027346, 'D_plus': 0.01507760532150776}}"
