scenario,method,repeat,depth,edge_count,D_p,D_minus,D_plus,cumulative_instability,T_obs,selected_absolute,selected_relative,selected_bootstrap_band,accuracy,precision,recall,fpr,balanced_accuracy,f1,tp,fp,tn,fn
order1_unconfounded,fast_gcstar_cgc,3,4,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,3,5,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,3,6,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,3,7,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,4,1,12,,,,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,2,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,3,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,4,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,5,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,6,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,4,7,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,1,12,,,,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,2,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,3,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,4,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,5,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,6,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,5,7,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7333333333333333,0.0,0.0,0.15384615384615385,0.4230769230769231,0.0,0.0,12.0,66.0,12.0
order1_unconfounded,fast_gcstar_cgc,6,1,12,,,,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,6,2,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,6,3,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,6,4,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,6,5,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,6,6,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
