scenario,method,depth,edge_count_mean,edge_count_std,D_p_mean,D_p_std,D_minus_mean,D_minus_std,D_plus_mean,D_plus_std,cumulative_instability_mean,cumulative_instability_std,T_obs_mean,T_obs_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
latent_common_driver,fast_gcstar_cgc,1,12.3,4.620004810002306,,,,,,,0.0,0.0,0.03333333333333333,0.015713484026367724,0.7677777777777778,0.07266247581074087,0.035833333333333335,0.0582737791234903,0.047474747474747475,0.07882671925303705,0.14815016669785216,0.059078448250827593,0.5,0.8498365855987975,11.8,4.442221666388715,68.6,6.6365988611972355,9.1,2.37814119756493
latent_common_driver,fast_gcstar_cgc,2,11.5,4.352521619066866,0.02888888888888889,0.018294946718856994,0.01888888888888889,0.016604823534414736,0.01,0.009728833730787922,0.02888888888888889,0.018294946718856994,0.03333333333333333,0.015713484026367724,0.7811111111111111,0.05857240837902788,0.046291747468218056,0.06706744296151299,0.06148018648018648,0.09574357387214537,0.1353347588719011,0.04988865673555208,0.7,1.0593499054713802,10.8,3.7653389990514503,69.6,5.758086101783782,8.9,2.0789954839350235
latent_common_driver,fast_gcstar_cgc,3,10.9,4.701063709417263,0.013333333333333332,0.013658584381174647,0.01,0.013302433330420717,0.003333333333333333,0.005367176572662755,0.042222222222222223,0.016396995274947153,0.03333333333333333,0.015713484026367724,0.79,0.06163078702616918,0.052006033182503776,0.07778688681696075,0.07057109557109556,0.11146456312071334,0.12683431435923195,0.0518898791879193,0.8,1.2292725943057183,10.1,3.9285281382896233,70.3,6.129165250396392,8.8,2.0976176963403033
latent_common_driver,fast_gcstar_cgc,4,11.3,5.1001089312985375,0.008888888888888889,0.01147550621098494,0.0022222222222222222,0.004684855792842044,0.006666666666666666,0.009369711585684086,0.05111111111111111,0.019737648288109966,0.03333333333333333,0.015713484026367724,0.7877777777777778,0.06551473933367091,0.05764705882352942,0.08173959792760474,0.07826340326340327,0.11456284600966624,0.13066466122755352,0.05723458993311521,0.9,1.286683937707919,10.4,4.351245032554859,70.0,6.5149400952306875,8.7,1.9465068427541912
latent_common_driver,fast_gcstar_cgc,5,11.1,5.195083145522205,0.013333333333333332,0.012614360271056594,0.0077777777777777776,0.010540925533894598,0.005555555555555556,0.009442628728875527,0.06444444444444444,0.02660486666084144,0.03333333333333333,0.015713484026367724,0.7877777777777778,0.06716889017957722,0.0517156862745098,0.07743960369824128,0.07057109557109556,0.11146456312071334,0.12936844460414576,0.05929927509011517,0.8,1.2292725943057183,10.3,4.522781838156198,70.1,6.573515886579352,8.8,2.0976176963403033
latent_common_driver,fast_gcstar_cgc,6,11.1,4.998888765404656,0.011111111111111112,0.009072184232530289,0.005555555555555556,0.005856069741052555,0.005555555555555556,0.005856069741052555,0.07555555555555556,0.033044011886215495,0.03333333333333333,0.015713484026367724,0.7855555555555556,0.06688236709930791,0.043529411764705886,0.07863698538838264,0.06287878787878788,0.11361110830465128,0.1306358910192715,0.056989356647731124,0.7,1.2516655570345725,10.4,4.3256341860022225,70.0,6.4635731432217725,8.9,2.282785822435191
latent_common_driver,fast_gcstar_cgc,7,10.9,4.840798832148815,0.011111111111111112,0.01171213948210511,0.006666666666666666,0.009369711585684087,0.0044444444444444444,0.007768954430890012,0.08666666666666667,0.04280943193125893,0.03333333333333333,0.015713484026367724,0.79,0.06509463407577872,0.05255952380952381,0.07963646556553236,0.07057109557109556,0.11146456312071334,0.1269281963808248,0.054752826225948764,0.8,1.2292725943057183,10.1,4.1486276177925525,70.3,6.3779132776934,8.8,2.0976176963403033
order1_unconfounded,fast_gcstar_cgc,1,11.7,1.888562063228706,,,,,,,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,2,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,3,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,4,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,5,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,6,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_cgc,7,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
