trial_id,tau,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.9409722222222222,0.6091954022988506,1.0,0.06500956022944551,0.9674952198852773,0.7571428571428571
0,2,0.9270833333333334,0.5578947368421052,1.0,0.08030592734225621,0.9598470363288719,0.7162162162162162
0,3,0.890625,0.45689655172413796,1.0,0.12045889101338432,0.9397705544933078,0.6272189349112427
0,4,0.8472222222222222,0.375886524822695,1.0,0.1682600382409178,0.9158699808795412,0.5463917525773195
0,5,0.8055555555555556,0.3212121212121212,1.0,0.21414913957934992,0.8929254302103251,0.4862385321100917
0,6,0.7829861111111112,0.29775280898876405,1.0,0.2390057361376673,0.8804971319311663,0.4588744588744589
0,7,0.7569444444444444,0.27461139896373055,1.0,0.2676864244741874,0.8661567877629064,0.4308943089430894
1,1,0.9540816326530612,0.6435643564356436,1.0,0.05006954102920723,0.9749652294853963,0.7831325301204819
1,2,0.9336734693877551,0.5555555555555556,1.0,0.07232267037552156,0.9638386648122392,0.7142857142857143
1,3,0.9068877551020408,0.47101449275362317,1.0,0.10152990264255911,0.9492350486787204,0.6403940886699507
1,4,0.8839285714285714,0.4166666666666667,1.0,0.12656467315716272,0.9367176634214187,0.5882352941176471
1,5,0.8507653061224489,0.35714285714285715,1.0,0.1627260083449235,0.9186369958275382,0.5263157894736842
1,6,0.8125,0.30660377358490565,1.0,0.20445062586926285,0.8977746870653686,0.4693140794223827
1,7,0.7831632653061225,0.2765957446808511,1.0,0.2364394993045897,0.8817802503477051,0.43333333333333335
2,1,0.9585798816568047,0.6666666666666666,1.0,0.04516129032258064,0.9774193548387097,0.8
2,2,0.9230769230769231,0.5185185185185185,1.0,0.08387096774193549,0.9580645161290322,0.6829268292682926
2,3,0.8875739644970414,0.42424242424242425,1.0,0.12258064516129032,0.9387096774193548,0.5957446808510638
2,4,0.8550295857988166,0.36363636363636365,1.0,0.15806451612903225,0.9209677419354838,0.5333333333333333
2,5,0.8076923076923077,0.3010752688172043,1.0,0.20967741935483872,0.8951612903225806,0.4628099173553719
2,6,0.7810650887573964,0.27450980392156865,1.0,0.23870967741935484,0.8806451612903226,0.43076923076923085
2,7,0.742603550295858,0.24347826086956523,1.0,0.2806451612903226,0.8596774193548387,0.39160839160839167
3,1,0.9655172413793104,0.71,1.0,0.03766233766233766,0.9811688311688311,0.8304093567251462
3,2,0.9191438763376932,0.5107913669064749,1.0,0.08831168831168831,0.9558441558441558,0.6761904761904762
3,3,0.8858501783590963,0.4251497005988024,1.0,0.12467532467532468,0.9376623376623376,0.596638655462185
3,4,0.8394768133174791,0.3446601941747573,1.0,0.17532467532467533,0.9123376623376623,0.5126353790613718
3,5,0.8133174791914387,0.31140350877192985,1.0,0.2038961038961039,0.898051948051948,0.4749163879598663
3,6,0.7681331747919143,0.2669172932330827,1.0,0.2532467532467532,0.8733766233766234,0.42136498516320475
3,7,0.7586206896551724,0.2591240875912409,1.0,0.2636363636363636,0.8681818181818182,0.41159420289855075
4,1,0.9750566893424036,0.725,1.0,0.02669902912621359,0.9866504854368932,0.8405797101449275
4,2,0.9251700680272109,0.46774193548387094,1.0,0.08009708737864078,0.9599514563106797,0.6373626373626373
4,3,0.9024943310657596,0.4027777777777778,1.0,0.10436893203883495,0.9478155339805825,0.5742574257425743
4,4,0.8526077097505669,0.30851063829787234,1.0,0.15776699029126215,0.9211165048543689,0.47154471544715443
4,5,0.800453514739229,0.24786324786324787,1.0,0.21359223300970873,0.8932038834951457,0.3972602739726028
4,6,0.7619047619047619,0.21641791044776118,1.0,0.25485436893203883,0.8725728155339806,0.35582822085889565
4,7,0.7414965986394558,0.20279720279720279,1.0,0.2766990291262136,0.8616504854368932,0.3372093023255814
5,1,0.9602194787379973,0.6506024096385542,1.0,0.04296296296296296,0.9785185185185186,0.7883211678832116
5,2,0.9382716049382716,0.5454545454545454,1.0,0.06666666666666667,0.9666666666666667,0.7058823529411764
5,3,0.877914951989026,0.3776223776223776,1.0,0.13185185185185186,0.9340740740740741,0.5482233502538071
5,4,0.8449931412894376,0.32335329341317365,1.0,0.1674074074074074,0.9162962962962963,0.4886877828054298
5,5,0.7997256515775034,0.27,1.0,0.2162962962962963,0.8918518518518519,0.4251968503937008
5,6,0.7791495198902606,0.25116279069767444,1.0,0.23851851851851852,0.8807407407407408,0.4014869888475837
5,7,0.7462277091906722,0.22594142259414227,1.0,0.2740740740740741,0.8629629629629629,0.36860068259385664
6,1,0.9497041420118343,0.5903614457831325,1.0,0.05422647527910686,0.9728867623604466,0.7424242424242424
6,2,0.9230769230769231,0.48514851485148514,1.0,0.08293460925039872,0.9585326953748006,0.6533333333333333
6,3,0.886094674556213,0.3888888888888889,1.0,0.12280701754385964,0.9385964912280702,0.56
6,4,0.8357988165680473,0.30625,1.0,0.17703349282296652,0.9114832535885167,0.46889952153110054
6,5,0.8284023668639053,0.296969696969697,1.0,0.1850079744816587,0.9074960127591707,0.4579439252336449
6,6,0.7943786982248521,0.26063829787234044,1.0,0.22169059011164274,0.8891547049441786,0.41350210970464135
6,7,0.7662721893491125,0.23671497584541062,1.0,0.25199362041467305,0.8740031897926634,0.3828125
7,1,0.9702734839476813,0.7126436781609196,1.0,0.03209242618741977,0.9839537869062901,0.8322147651006712
7,2,0.9227110582639715,0.4881889763779528,1.0,0.0834403080872914,0.9582798459563543,0.656084656084656
7,3,0.8977407847800237,0.4189189189189189,1.0,0.110397946084724,0.944801026957638,0.5904761904761905
7,4,0.8608799048751486,0.3463687150837989,1.0,0.15019255455712452,0.9249037227214377,0.5145228215767635
7,5,0.8192627824019025,0.2897196261682243,1.0,0.1951219512195122,0.9024390243902439,0.4492753623188406
7,6,0.7788347205707491,0.25,1.0,0.23876765083440307,0.8806161745827985,0.4
7,7,0.751486325802616,0.22878228782287824,1.0,0.2682926829268293,0.8658536585365854,0.37237237237237236
8,1,0.9566115702479339,0.6440677966101694,1.0,0.04708520179372197,0.976457399103139,0.7835051546391751
8,2,0.9359504132231405,0.5507246376811594,1.0,0.06950672645739911,0.9652466367713004,0.7102803738317757
8,3,0.9028925619834711,0.4470588235294118,1.0,0.10538116591928251,0.9473094170403588,0.6178861788617886
8,4,0.8615702479338843,0.3619047619047619,1.0,0.15022421524663676,0.9248878923766817,0.5314685314685315
8,5,0.8367768595041323,0.3247863247863248,1.0,0.17713004484304934,0.9114349775784754,0.4903225806451613
8,6,0.7933884297520661,0.2753623188405797,1.0,0.2242152466367713,0.8878923766816144,0.4318181818181819
8,7,0.7396694214876033,0.23170731707317074,1.0,0.2825112107623318,0.858744394618834,0.37623762376237624
9,1,0.9400826446280992,0.6027397260273972,1.0,0.0659090909090909,0.9670454545454545,0.7521367521367521
9,2,0.9173553719008265,0.5238095238095238,1.0,0.09090909090909091,0.9545454545454546,0.6875000000000001
9,3,0.8987603305785123,0.4731182795698925,1.0,0.11136363636363636,0.9443181818181818,0.6423357664233577
9,4,0.8326446280991735,0.352,1.0,0.18409090909090908,0.9079545454545455,0.5207100591715976
9,5,0.8367768595041323,0.35772357723577236,1.0,0.17954545454545454,0.9102272727272727,0.5269461077844312
9,6,0.7954545454545454,0.3076923076923077,1.0,0.225,0.8875,0.47058823529411764
9,7,0.768595041322314,0.28205128205128205,1.0,0.2545454545454545,0.8727272727272728,0.44000000000000006
